# source, target, migration_1990_total, migration_1990_male, migration_1990_female, migration_1995_total, migration_1995_male, migration_1995_female, migration_2000_total, migration_2000_male, migration_2000_female, migration_2005_total, migration_2005_male, migration_2005_female, migration_2010_total, migration_2010_male, migration_2010_female, migration_2015_total, migration_2015_male, migration_2015_female
6,221,1113,571,542,1106,567,539,1103,565,538,1037,534,503,972,503,469,972,503,469
6,42,8,3,5,12,5,7,15,6,9,12,5,7,9,5,4,15,7,8
6,46,39,25,14,38,24,14,37,24,13,35,23,12,39,26,13,42,28,14
6,37,106,52,54,121,59,62,139,68,71,103,43,60,73,20,53,82,23,59
6,54,0,0,0,0,0,0,0,0,0,0,0,0,39,10,29,42,11,31
7,64,14,7,7,13,6,7,13,6,7,15,7,8,16,7,9,19,7,12
7,142,693,275,418,662,265,397,616,248,368,487,195,292,469,189,280,429,174,255
7,16,72,60,12,7456,6443,1013,14840,12827,2013,17664,15303,2361,20488,17780,2708,21664,18829,2835
7,31,1,1,0,2,2,0,3,3,0,4,3,1,5,4,1,5,4,1
7,56,1,1,0,2,2,0,3,3,0,2,2,0,0,0,0,0,0,0
7,59,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,3,1,2
7,73,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
7,101,1,1,0,2,2,0,3,2,1,3,2,1,2,1,1,2,1,1
7,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
